0	0.001
0.01	0
0.02	0.001
0.03	0
0.04	0
0.05	0
0.06	0.001
0.07	0.006
0.08	0.006
0.09	0.01
0.1	0.007
0.11	0.011
0.12	0.017
0.13	0.021
0.14	0.02
0.15	0.017
0.16	0.028
0.17	0.037
0.18	0.016
0.19	0.022
0.2	0.031
0.21	0.046
0.22	0.041
0.23	0.044
0.24	0.039
0.25	0.029
0.26	0.034
0.27	0.034
0.28	0.027
0.29	0.027
0.3	0.038
0.31	0.029
0.32	0.028
0.33	0.024
0.34	0.018
0.35	0.024
0.36	0.022
0.37	0.017
0.38	0.02
0.39	0.009
0.4	0.026
0.41	0.009
0.42	0.007
0.43	0.008
0.44	0.011
0.45	0.008
0.46	0.008
0.47	0.009
0.48	0.009
0.49	0.01
0.5	0.007
0.51	0.001
0.52	0.003
0.53	0.01
0.54	0.002
0.55	0.007
0.56	0.009
0.57	0.004
0.58	0.003
0.59	0.004
0.6	0.002
0.61	0.002
0.62	0.004
0.63	0.001
0.64	0.001
0.65	0.003
0.66	0.002
0.67	0.002
0.68	0.001
0.69	0.005
0.7	0.001
0.71	0.002
0.72	0.002
0.73	0.003
0.74	0
0.75	0
0.76	0.003
0.77	0.001
0.78	0
0.79	0.001
0.8	0.001
0.81	0.002
0.82	0
0.83	0
0.84	0.001
0.85	0
0.86	0
0.87	0
0.88	0
0.89	0.001
0.9	0
0.91	0
0.92	0.001
0.93	0.001
0.94	0
0.95	0
0.96	0
0.97	0
0.98	0
0.99	0
