0	0.001
0.01	0
0.02	0.002
0.03	0.001
0.04	0.001
0.05	0.001
0.06	0.005
0.07	0.006
0.08	0.005
0.09	0.011
0.1	0.02
0.11	0.011
0.12	0.017
0.13	0.02
0.14	0.035
0.15	0.026
0.16	0.033
0.17	0.024
0.18	0.025
0.19	0.045
0.2	0.024
0.21	0.029
0.22	0.039
0.23	0.043
0.24	0.03
0.25	0.02
0.26	0.028
0.27	0.026
0.28	0.037
0.29	0.026
0.3	0.029
0.31	0.018
0.32	0.023
0.33	0.015
0.34	0.02
0.35	0.025
0.36	0.013
0.37	0.023
0.38	0.01
0.39	0.019
0.4	0.01
0.41	0.016
0.42	0.018
0.43	0.013
0.44	0.009
0.45	0.012
0.46	0.011
0.47	0.01
0.48	0.01
0.49	0.007
0.5	0.009
0.51	0.01
0.52	0.004
0.53	0.005
0.54	0.008
0.55	0.007
0.56	0.002
0.57	0
0.58	0.005
0.59	0.004
0.6	0.003
0.61	0.001
0.62	0.005
0.63	0.002
0.64	0.001
0.65	0.002
0.66	0.004
0.67	0.003
0.68	0
0.69	0.001
0.7	0
0.71	0
0.72	0.004
0.73	0.001
0.74	0.002
0.75	0.001
0.76	0.001
0.77	0
0.78	0.001
0.79	0.002
0.8	0.001
0.81	0.003
0.82	0.001
0.83	0.001
0.84	0
0.85	0
0.86	0
0.87	0
0.88	0
0.89	0
0.9	0
0.91	0.001
0.92	0
0.93	0.002
0.94	0.001
0.95	0
0.96	0
0.97	0
0.98	0
0.99	0
